channel_id	description
UCL-0gAth4u6Wp-9_98XU3nA	"The Official YouTube Page for fingerstyle guitarist - Tommy Emmanuel, CGP.

Tommy Emmanuel has achieved enough musical milestones to satisfy several lifetimes. At the age of six, he was touring regional Australia with his family band. By 30, he was a rock n’ roll lead guitarist burning up stadiums in Europe. At 44, he became one of five people ever named a Certified Guitar Player (or CGP) by his idol, music icon Chet Atkins. Today, he plays hundreds of sold-out shows every year from Nashville to Sydney to London. Since he and his brother Phil taught themselves to play as toddlers, the guitar has been Tommy’s real first language–and he’s more articulate on his signature Melbourne-made Maton acoustics than most people are with words. Influenced by the Merle Travis/Chet Atkins fingerstyle of guitar picking, Tommy developed a style of solo guitar playing that encompasses the range of a whole band– covering drums, bass, rhythm and lead guitar and a vocal melody simultaneously. No loop peda"
UC1_7Qeu1LdDy5PTZ0vQE_sA	"Canal oficial da Paula Fernandes. 

A cantora e compositora, Paula Fernandes, nasceu em Sete Lagoas, em Minas Gerais. Começou a cantar ainda criança, aos 10 anos, lançou o primeiro disco independente, ""Paula Fernandes"". Hoje, se tornou referência musical, principalmente no segmento sertanejo onde é a maior expressão feminina.
"
UCBxZZfQ8R2xtk0YEU1d8l4Q	"Welcome to Carrie Underwood's official YouTube channel. 

Carrie Underwood emerged from the promise of her 2005 American Idol win to become a true multi-format, multi-media superstar, spanning achievements in music, television, film, and now books, as a New York Times bestselling author.  All seven of her albums, including her Greatest Hits album, have been certified platinum or multi-platinum, and she has sold more than 64 million records worldwide.  She has also recorded 27 #1 singles, 14 of which she co-wrote. She packed arenas across North America on The Cry Pretty Tour 360 in 2019,  and has won over 100 major awards. This Fall, Carrie will release her first-ever Christmas album, My Gift.

Listen, Watch and Subscribe so you can be the first to know about Carrie Underwood's behind the scenes videos, music and her life. Thank you for stopping by!"
UCOnoQYeFSfH0nsYv0M4gYdg	Billboard’s first-ever Trailblazer Award recipients continue to build their ever-expanding empire of innovative artistry and entrepreneurial endeavors throughout their colossal career. With their romantic roots-infused “Simple” surging Country charts, as the lead single off their anticipated fourth studio album, the kings of collaborations are shattering records with 3X PLATINUM-certified #1 “Meant to Be” with Bebe Rexha [14th #1 overall as artists plus leads the Billboard Hot Country Songs chart]. Exceeding 4.2 billion streams, 31 million tracks and more than 4.3 million albums sold worldwide, BMLG Records’ duo remains the first and only Country act to achieve RIAA’s DIAMOND certification for their breakout “Cruise,” which is the best-selling digital Country single of all time (SoundScan). Since 2012, FGL has earned prestigious honors from the AMAs, ACM Awards, CMA Awards, Billboard Music Awards, and CMT Music Awards, plus left their mark on several chart-crushing songs as writers.
UCH5oChsU9MVM7gIqBolNKGQ	"Official home to Zac Brown Band music & behind the scenes videos.

www.zacbrownband.com"
UCWqvhmZyB66eKv01SiH_Kjg	"Try not to step on the chalk outlines when navigating through prairie pickers The Dead South's catalogue. Over the course of two full-length albums, it's true that the villainous, murderous match-strikers and revenge-takers outnumber those with good intentions, but in the end, no heinous act goes unpunished.

The Dead South, a gold rush vibing four-piece acoustic bluegrass set from Saskatchewan, infuse the genre's traditional trappings with an air of frontier recklessness, whiskey breakfasts and grizzled tin-pan showmanship. Their original and current lineup includes the gnarled baritone of Nate Hilts, Scott Pringle on mandolin, whistling cellist Danny Kenyon and virtuosic banjo player Colton Crawford. The four-piece, acoustic string-driven approach puts the interplay of unique and versatile voices front and centre, with Hilts, Pringle and Kenyon all sharing lead vocal duties."
UCy5QKpDQC-H3z82Bw6EVFfg	
UCw1jzpWLPERKng35P3vN78A	The official YouTube channel of Hunter Hayes - watch the music videos and live performances from the latest album Wild Blue (Part 1) available now!
UCJQplYDHQjYbmADXC-_y27Q	
UCsEKCm_-rtFSFarMiskZI3w	
UClcR5Ho9kfnj40zaN1enC-Q	Over the course of their decade-long career, Lady Antebellum has become one of the 21st century's premier vocal groups, blending deeply felt emotions with classic country sounds. They are back on the radio airwaves and at digital partners with “What If I Never Get Over You”, their first single under BMLG Records. Representing a new chapter as well as a return to the beginning for Charles Kelley, Hillary Scott and Dave Haywood, the plush mid-tempo ballad features Scott and Kelley trading anxiety and shared despair over an ending relationship. The trio has amassed record-breaking success with nine #1 hits at country radio, while ushering in more than 18 million album units and 34 million tracks sold, with over 4 billion digital streams. Known for their 9X PLATINUM hit “Need You Now”, they have earned ACM and CMA trophies three years in a row and countless other honors including seven GRAMMY awards, Billboard Music Awards, People’s Choice Awards, Teen Choice Awards and a Tony Award nod.
UC2RaZgpzFbucwZ1ud6i7q-w	Kenny Chesney on Vevo - Official Music Videos, Live Performances, Interviews and more...
UCxwcuOcJCJVDm_BRKYJ2Vdg	Brad Paisley on Vevo - Official Music Videos, Live Performances, Interviews and more...
UC-rslgbv6TTM94dLc4Z0U5w	"The Nitty Gritty Dirt Band is an American country music band. The group has existed in various forms since its founding in Long Beach, California, in 1966. The band's membership has had at least a dozen changes over the years, including a period from 1976 to 1981 when the band performed and recorded as the Dirt Band.
Constant members since the early times are singer-guitarist Jeff Hanna and drummer Jimmie Fadden. Multi-instrumentalist John McEuen was with the band from 1966 to 1986 and returned during 2001, staying 16 years, then departing again in November 2017. Keyboardist Bob Carpenter joined the band in 1977. The band is often cited as instrumental to the progression of contemporary country and roots music.
The band's successes include a cover version of Jerry Jeff Walker's ""Mr. Bojangles"". Albums include 1972's Will the Circle be Unbroken, featuring such traditional country artists as Mother Maybelle Carter, Earl Scruggs, Roy Acuff, Doc Watson, Merle Travis, and Jimmy Martin."
UCORIeT1hk6tYBuntEXsguLg	Scott Bradlee's Postmodern Jukebox: Today's hits, yesterday (vintage style covers). For live concert tickets, music downloads, merch, and instant updates, check out Postmodern Jukebox's links below!
UCLue5AhDOIpePYzlc3rOVVQ	"♫ JazznBluesExperience : (Re)Discover the jazz and blues greatest hits !

♫ JazznBluesExperience is your channel for all the best jazz and blues music ! 
Find your favorite songs and artists and experience the best of jazz music and blues music. 

Subscribe for free to stay connected to our channel and easily access our video updates! 
♫ And follow us on our Facebook FanPage :  http://www.facebook.com/JazznBluesExperience

For more information on this channel, videos or copyright, please contact first: youtube@believedigital.com

SITE - http://www.believedigitalstudios.com/
FACEBOOK - https://www.facebook.com/JazznBluesExperience
TWITTER - https://twitter.com/BelieveStudioFR"
UCwDeWP_zZhqYMSj7W2z5mVg	"Freshly Squeezed. Better taste. Brighton-based Independent Record Label of quality and innovation behind sounds like the electro swing phenomena. Roster of quirky, idiosyncratic music that you'd be unlikely to hear anywhere else. We believe it is our uncompromising quest for only the very best music that has enabled us to evolve from a small DIY label making videos on a shoestring (sometimes less) to becoming, since 2005, one of the survivors in our industry. On this channel you will see videos that we spent a little more time and money on. You will also see videos we made when we simply didn't have any budget at all. We hope you'll enjoy them all and that ultimately the quality of the music is what comes through.

SUBSCRIBE to this channel here: https://www.youtube.com/user/freshlysqueezedmusic/?sub_confirmation=1
or our sister channel for audio and bonus content @freshlysqueezedjukebox
"
UC2DyPD59ZXz2Jt-gy9twYiA	"I have started a new website where you can download MIDI files and Backing Tracks from my videos. The website is at:
http://www.Lot2learn.com.

You can also purchase a DVD of most of my YouTube videos here:
http://tiny.cc/Lot2learnDVD

My NEW TRIO CD is here! Check out my website at http://www.Lot2learn.com for exclusive video footage from the recording studio sessions.

ABOUT THIS CHANNEL:
I have tried to upload videos that are both entertaining and educational. As a perpetual info-seeker I have named this channel Lot2Learn. No matter how much knowledge or skills one accumulates, there is always a Lot2Learn. Most of the educational videos were performed with me playing to backing tracks although there are a few group performances thrown in the mix.

To see videos of me playing in a Jazz Trio format, type in the YouTube Search box: Ray Porrello Trio.

To see videos of me playing in a Jazz Quintet setting, type in the YouTube Search box: Dave Sterner Quintet.

There are also some videos of me playing with trumpeter Eddie Henderson on the EddieHenderson4tet channel.

My Jazz Trio videos can be found on the RayPorrelloTrio channel.

My gig calendar can be found on a link on my site here: http://www.rogerjazz.com"
UCirPLQsYtHWBmalEbX1LcAA	Nathaniel Adams Coles, known professionally as Nat King Cole, was an American singer and jazz pianist. He recorded over 100 songs that became hits on the pop charts. His trio was the model for small jazz ensembles that followed. Cole also acted in films and on television and performed on Broadway. He was the first African-American man to host an American television series. He was the father of singer-songwriter Natalie Cole.
UCam8VtqRmUKCD-HWZgHtMEg	"Welcome to my YouTube channel!

My musical mission is to take your favorite (or least favorite) pop, rock, and hip-hop songs and give them a vintage makeover!"
UCiReSwhx7y_LpNFNg4GCuCQ	"Founded in 1991, TrueFire has collaborated with 600+ top educators to produce what Guitar Player Magazine calls ""the planet's largest and most comprehensive selection of online guitar lessons.""

1 million+ guitar players, from virtually every country in the world, ""learn, practice, and play"" with TrueFire's interactive video courses and patented learning systems for personalized and private online instruction.

TrueFire’s success is largely due to the quality of artists and educators that we’ve been privileged to work with over the years. From GRAMMY award winners, to top session players, to world renowned educators, TrueFire content is powered by the best in the biz.

TrueFire's course library features 40,000+ interactive video guitar lessons, 30,000+ tabs, 20,000+ jam tracks, and more covering all styles, techniques and levels. Course material is available anytime, anywhere, on any device (desktop, mobile, and streaming).

LEARN MORE: https://truefire.com/online-guitar-lessons"
UCUmqK1oeMpSfRQ6oUpiYKHA	Smouldering, vintage inspired songs with a contemporary sheen and suggestive lyrics over a truly inimitable cinematic melting pot of sounds and influences - the music and aesthetic of starring artist Caro Emerald and creative minds/songwriters/producers David Schreurs, Vincent Degiorgio and Jan van Wieringen has been capturing hearts and minds across the continent since 2009. The Amsterdam/Toronto based group blends vintage jazz, 60's film scores, latin, bossa nova, blazing bigband, rhumba's, exotica and ballroom jazz with 90's breakbeats, samples, hiphop and dancebeats - without ever sounding retro. There's a very distinct pop sense to it all - which could explain why their debut album spend 30 weeks at #1 in The Netherlands and the follow up entered at #1 in the UK, and so many songs have been used in films and series around the globe.
UC_OtnV-9QZmBj6oWBelMoZw	"My name is Carlos, and I make video game jazz arrangements. They're pretty good! I think you'll like them. I release these arrangements on this channel every other Saturday at 12:30 PM EST!

You are welcome to use my music in your videos as long as you’re not making money from the video! Please provide written credit to my channel as well as a link to my channel! Here’s an example that you’re welcome to copy and paste: (Music provided by Insaneintherainmusic: youtube.com/user/insaneintherainmusic)

Please read my FAQ before contacting me to see if I have answered your question before: https://www.insaneintherainmusic.com/faq/

If your question has not been answered, you may contact me at my email below!"
UClw8Huc_XZcz46GJh5Z0wuA	"DR K Boogie Woogie

BINGE WATCH these vids to gain the full boogie woogie effect. Binge watching (especially late at night) is the best way to get into the music and the vibe on this channel. 
If you want to learn how to play boogie woogie piano, you can purchase the Pdf Sheet music downloads to accompany the YouTube lessons at this official Dr K website: www.badassboogie.com   

Hit SUBSCRIBE and share these vids on social media to spread the Boogie Woogie word and to support LIVE music.

Luv and Boogie Woogie, DR K xxx"
UCGW-Pf2Tzy4lnbVc1HW_m3A	"Established in 2005, Jakarta International Java Jazz Festival has not only become Indonesia's finest jazz festival, but also one of the most prestigious and largest in the world. 

Watch video from previous Jakarta international Java Jazz Festival here.

Jakarta International Java Jazz Festival 2014
Feb 29 ~ Mar 2 2013
Jakarta, Indonesia.

follow on @javajazzfest for updates

http://www.javajazzfestival.com/
http://www.javafestivalproduction.com/"
UC9vGD_KFNiQOHSeUoxIM3yQ	"Sade
The official Vevo channel for the British iconic band #sade of Sade Adu, Stuart Matthewman, Andrew Hale, Paul S. Denman
@sadeofficial
www.sade.com"
UCjvZB8bh7MtsVFS7m-pEzuw	"The Official YouTube Channel of Sony Music Entertainment Indonesia.

Sony Music Entertainment is a global recorded music company with a current roster that includes a broad array of both local artists and international superstars. The company boasts a vast catalog that comprises some of the most important recordings in history. It is home to premier record labels representing music from every genre, including Arista Records, Arista Nashville, Beach Street Records, Black Butter Records, BPG Music, Bystorm Entertainment, Century Media, Columbia Nashville, Columbia Records, Day 1, Descendant Records, Disruptor Records, District 18 Entertainment, Epic Records, E

Subscribe for more exclusive, original, and official content from Sony Music Entertainment Indonesia!

For more info, Follow us on:
Twitter @SonyMusicID
Instagram @SonyMusicID: 
Facebook: Sony Music Entertainment Indonesia
TikTok: @sonymusicid

Address : Wisma GKBI, Jl. Jend. Sudirman No.28,, Jakarta Selatan, DKI Jakarta"
UCtmY49Zn4l0RMJnTWfV7Wsg	Jacob Collier is a musician, based in my mind, London, the Universe.
UCPl2RYo0lLLqj8RaEADYclg	"GroundUP Music was created to serve as an artistic oasis in the ever-changing world of independent music. The label was founded in 2012 by our leader Michael League who started GroundUP as a new home for his band Snarky Puppy. Michael quickly built ""additions"" on to his new home and invited a circle of musicians and friends to move in as well. The goal is now to continue to build from the ""Ground Up"" and foster our guiding beliefs and ideas and to harness the power of music to help influence listener's emotions, behaviors and occasionally morals."
UCfy5pDNFUIpyXiqKn-CB2gg	"Yuki Matsui Official channel / 松井祐貴 オフィシャルチャンネル
Fingerstyle guitarist, Japan

【TAB】https://www.mymusicsheet.com/YMusicOffice

【Contact】演奏依頼はこちらへお願いします↓
http://yuki-matsui.com/contact/"
UCnjQCcLxBqelGn0sForpAqA	"Pianist Jonny May shares his original piano arrangements and covers.

Visit PianoWithJonny.com for piano video tutorials, sheet music, and more.
Visit JonnyMay.com for tour dates, latest news, and more.

Professional/Business Inquiries: info@jonnymay.com

Thanks for visiting!"
UCEXDaXzYhqYdLCQ3Ce7U2Og	"HERE TO INSPIRE CREATIVITY AND GROW YOUR MUSICALITY! 

Welcome to the official channel for guitarist/producer Quist - here you will find lots of music, jam tracks, improvisations, licks & lessons

SUBSCRIBE to join our jam fam and take your improvisation skills to a new level ⚡ 

▶ Licks Livestreams every Friday at 10am Pacific

▶ Wednesday Warm-ups every....well....Wednesday 

Quist has performed all over the world - incl. Royal Albert Hall, Hollywood Bowl & Abbey Road Studios - and can't wait to tour again soon!

Snail mail: 

Quist
P.O. Box 50112 
Studio City
CA 91614
USA"
UCqepSCHTyWj4BzHxEEUNvlg	"This channel is there to explore and inspire all things Jazz and Jazz Guitar. Quality Teaching and Guitar Playing, In-depth Jazz Lessons and Music Theory Videos.


In 2014 I was happy working as a jazz guitarist and touring with my Band Træben, but I was mostly teaching Metallica, Coldplay and AC/DC. Of course there is nothing wrong with those genres of music, but I really wanted to teach Jazz so I started writing some lessons on my website. After publishing a few on Ultimate Guitar, I was adviced by Chris Zoupa to start making YouTube videos (if you like the videos you should really Thank him). As you can see that turned out to be a lot of fun!"
UCtCM_6Hb76yWu2oKS59l-mw	
UCHkj014U2CQ2Nv0UZeYpE_A	Justin Bieber on Vevo - Official Music Videos, Live Performances, Interviews and more...
UCANLZYMidaCbLQFWXBC95Jg	
UCbW18JZRgko_mOGm5er8Yzg	One Direction on Vevo - Official Music Videos, Live Performances, Interviews and more...
UCmv1CLT6ZcFdTJMHxaR9XeA	"Three-time Grammy® Award-winning and multi-Platinum-selling Pentatonix has sold nearly 10 million albums worldwide and performed for hundreds of thousands of fans at their sold out shows across the globe. Their YouTube channel boasts more than 14.5 million subscribers, yielding over 3 billion video views. Their 2015 self-titled album is certified gold after debuting #1 on Billboard’s 200.

Additionally, nine of their albums reached the top 10 on Billboard’s 200 chart (2 at #1) and received multiple RIAA certifications for multi-platinum, platinum and gold selling albums and singles.  The group has had two holiday specials on NBC (watch http://smarturl.it/AVeryPTXChristmas ), released their tour documentary - On My Way Home - in 2015 and appeared in the feature film, Pitch Perfect 2.

Most recently, Pentatonix released a deluxe version of their certified Platinum 2016 holiday album A Pentatonix Christmas Deluxe and wrapped their sold-out A Pentatonix Christmas Tour in December."
UCpdK1NLHxEUGXc1gq2NxkTw	"Watch The Voice Mondays & Tuesdays 8/7c on NBC!

The four-time Emmy Award-winning musical competition series ""The Voice"" returns with the strongest vocalists from across the country to compete in the show's newest season. Rock icon and pop culture phenomenon Gwen Stefani reclaims her red chair alongside superstar coaches Kelly Clarkson, John Legend and Blake Shelton for Season 19. Carson Daly returns as host.

The show's innovative format features four stages of competition: the Blind Auditions, the Battle Rounds, Knockouts, and the Live Performance Shows.

During the Blind Auditions, the decisions from the musician coaches are based solely on voice and not looks. If a coach is impressed by the artist's voice, he/she pushes a button to select the artist for his/her team.

The singers with the lowest number of votes will be sent home each week. In the end, one will be named ""The Voice"" and will receive the grand prize of a recording contract.

Stream Now on the NBC App!"
UCyC_4jvPzLiSkJkLIkA7B8g	"I love to play the violin, dance, write music, edit videos, play dress up, and perform. 
So, I combined it all together and this is what happened. :)
Subscribe to my channel and be updated when I release new music!

Text me: (818) 239-7914 https://my.community.com/lindseystirling

For booking or other business inquiries, http://www.lindseystirling.com/contact

Play some Lindsey trivia: https://found.ee/LS_Trivia_yta"
UCEY1ejsweY4DgMwOVJeEaBA	Welcome to the official YouTube channel for The X Factor in the UK. For more exclusive backstage clips and all the juicy gossip on The X Factor visit itv.com/xfactor, stv.tv/xfactor.
UC0VOyT2OCBKdQhF3BAbZ-1g	Listen & download positions: https://arianagrande.lnk.to/positions
